[005290]  60400원 (10.42%) vol:4.14 turtle:S2
[020150]  62100원 (9.52%) vol:3.59 turtle:S2
[222800]  86600원 (9.07%) vol:1.53 turtle:S2
[033240]  46250원 (7.56%) vol:2.69 turtle:S2
[322000]  182400원 (7.29%) vol:2.37 turtle:S2
[095610]  93300원 (5.3%) vol:1.68 turtle:S2
[357780]  464000원 (5.22%) vol:2.25 turtle:S1
[010060]  314000원 (5.19%) vol:1.66 turtle:S2
[178320]  53200원 (5.14%) vol:1.62 turtle:S2
[066575]  56900원 (4.98%) vol:4.42 turtle:S1
[066570]  132800원 (4.9%) vol:1.93 turtle:S1
[067310]  39900원 (4.86%) vol:2.03 turtle:S2
[000990]  127900원 (4.84%) vol:1.7 turtle:S2
[195870]  68500원 (4.58%) vol:2.49 turtle:S2
[094800]  7580원 (3.84%) vol:2.41 turtle:S2
[036540]  7860원 (3.83%) vol:2.74 turtle:S1
[222080]  16930원 (3.8%) vol:5.48 turtle:S2
[098460]  33100원 (3.44%) vol:1.79 turtle:S1
[281740]  25450원 (3.25%) vol:2.74 turtle:S1
[022100]  35650원 (2.89%) vol:2.9 turtle:S1
[229640]  60000원 (2.56%) vol:1.61 turtle:S2
[457190]  130100원 (2.44%) vol:2.1 turtle:S2
[006400]  659000원 (2.17%) vol:1.83 turtle:S2
[005070]  65500원 (1.55%) vol:2.59 turtle:S2
[383310]  34000원 (1.34%) vol:2.14 turtle:S1
[036930]  120400원 (1.26%) vol:2.95 turtle:S2
[241710]  85500원 (0.71%) vol:1.52 turtle:S1
[009520]  20550원 (0.24%) vol:2.26 turtle:S1
